# SHEET: Warrant 기준
                          Country       Location           Site  Customer               PJT                              MODEL                              Warranty기준 Unnamed: 7                                     비고  Unnamed: 9 Customer 별 Warranty 시작 기준 날짜와 기간    Unnamed: 11 Unnamed: 12
                            CHINA        Chengdu            BOE  APSYSTEM          42000326                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                         Customer          기준 날짜          기간
                            CHINA        Chengdu            BOE  APSYSTEM          42000293                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                         APSYSTEM         Fab In         365
                            CHINA        Chengdu            BOE  APSYSTEM          42000325                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                              AUO         Fab In         365
                            CHINA        Chengdu            BOE  APSYSTEM          42000294                              RS-04                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                             CSOT            FAT         730
                            CHINA          Wuhan           CSOT  APSYSTEM          42100126                            RS-20CW                 인보이스 발행일(장비 출하일자)로부터 1년        NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년         NaN                              GVO            FAT         365
                            CHINA          Wuhan           CSOT      CSOT          42100179                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                           이오테크닉스         Fab In         365
                            CHINA          Wuhan           CSOT      CSOT          42100311                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            CHINA          Wuhan           CSOT      CSOT          42100310                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                       ■ 고객사 Code            NaN         NaN
                            CHINA          Wuhan           CSOT      CSOT          42100172                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            CHINA          Wuhan           CSOT      CSOT          42100309                        HDRS-202215                              FAT승인 + 2년        NaN                                    NaN         NaN                               중국           CSOT      150017
                          AUSTRIA        Villach   INFINEON-AUS    VEONIS          42100204                            RD-05IV Turn-on 후 고객사 Sign 시 작용(Warranty 일자 기입)        NaN                                    NaN         NaN                              NaN            GVO      150021
                           FRANCE        Crolles            STM    VEONIS          42100326                          RSHS-0612                            TURN-ON + 2년        NaN                                    NaN         NaN                              NaN            EDO      150060
                           FRANCE        Crolles            STM    VEONIS          42100237                          RSHS-0612                            TURN-ON + 2년        NaN                                    NaN         NaN                              NaN         TIANMA      150045
                           FRANCE        Crolles            STM    VEONIS          42100347                              RS-06                            TURN-ON + 2년        NaN                                    NaN         NaN                              NaN           CXMT      150178
                          GERMANY         Erfurt          X-FAB    VEONIS          42100336                              HS-06                            TURN-ON + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                          GERMANY         Munich     Fraunhofer    VEONIS          42100370                              RS-06                            TURN-ON + 1년        NaN                                    NaN         NaN                              NaN           YMTC      150053
                            JAPAN       Yamagata           SONY      SONY          42000435                            EES-04D                            TURN-ON + 1년        NaN                                    NaN         NaN                              NaN            BOE      150015
                            JAPAN       Nagasaki           SONY      SONY          42000435                            EES-04D                            TURN-ON + 1년        NaN                                    NaN         NaN                              NaN       SK-Hynix         NaN
                            JAPAN       KUMAMOTO           SONY      SONY          42000435                            EES-04D                            TURN-ON + 1년        NaN                                    NaN         NaN                            말레이시아   INFINEON-MAL      150100
                         MALAYSIA          KULIM   Infineon-Mal  INFINEON          42100018                              HS-06      FAB IN + 1년(미설치시 반입일 기준 90일 이후 적용)        NaN                                    NaN         NaN                              NaN       SILTERRA      150039
                         MALAYSIA          KULIM       SILTERRA  SILTERRA          42000336                          EES-04-DS      FAB IN + 1년(미설치시 반입일 기준 90일 이후 적용)        NaN                                    NaN         NaN                               대만     MICRON_F11      150131
                         MALAYSIA          KULIM       SILTERRA  SILTERRA          42000337                          EES-04-PS      FAB IN + 1년(미설치시 반입일 기준 90일 이후 적용)        NaN                                    NaN         NaN                              NaN     MICRON_F16      150091
                        SINGAPORE       Tampines            AUO       AUO          42100039                     MHHRT-040605IC      FAB IN + 1년(미설치시 반입일 기준 90일 이후 적용)        NaN                                    NaN         NaN                              NaN           TSMC      150048
                        SINGAPORE       WOODLAND     MICRON_F10    MICRON          42100320                              RS-18                            TURN-ON + 2년        NaN                                    NaN         NaN                             싱가포르     MICRON_F10      150109
                        SINGAPORE       WOODLAND     MICRON_F10    MICRON          42100318                              HS-04                            TURN-ON + 2년        NaN                                    NaN         NaN                              NaN            AUO      150129
                        SINGAPORE       WOODLAND     MICRON_F10    MICRON          42100358                          ESHS-1007                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN           SEUL      150037
                        SINGAPORE       WOODLAND GLOBAL FOUNDRY      SEUL          42100352                              HS-06                            출하일 + 1년 3개월        NaN                                    NaN         NaN                              NaN GLOBAL FOUNDRY      150037
                           TAIWAN       TAICHUNG           TSMC      TSMC               NaN                              ES-08                                    DEMO        NaN                                   DEMO         NaN                               일본           SONY      150028
                           TAIWAN         TAINAN           TSMC      TSMC          42100333                           ES-08-TM                            TURN-ON + 2년        NaN                                   DEMO         NaN                               유럽         Veonis      150170
                           TAIWAN         LINKOU     MICRON_F11    MICRON          42100350                           RS-03-MT                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN   INFINEON-AUS         NaN
                           TAIWAN         LINKOU     MICRON_F11    MICRON          42100351                           HS-04-MT                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN            STM         NaN
                           TAIWAN       TAICHUNG     MICRON_F16    MICRON          42100350                           RS-03-MT                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN          X-FAB         NaN
                           TAIWAN       TAICHUNG     MICRON_F16    MICRON          42100351                           HS-04-MT                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN     Fraunhofer         NaN
                           TAIWAN       TAICHUNG     MICRON_F16    MICRON          42100359                       ESHS-1007-SW                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN            NaN         NaN
                           TAIWAN       TAICHUNG     MICRON_F16    MICRON          42100360                          ESHS-1007                            TURN-ON + 2년        NaN                                   DEMO         NaN                              NaN            NaN         NaN
                          GERMANY         Munich     Fraunhofer    VEONIS          42100370                              RS-06                            TURN-ON + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN     유정시스템               NaN                              RS-15                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN     유정시스템               NaN                              RS-20                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN     유정시스템               NaN                              RS-07                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN       TES               NaN                          ES-02P-TS                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN       TES               NaN                          ES-02R-TS                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN       TES          42100373                          RSHS-1812                                    DEMO        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN   LAM KTC          42000444                     RDHS-181512-TR                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN   LAM KTC          42100208                     RDHS-181512-VA                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN   LAM KTC               NaN                          RSHS-2012                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN   LAM KTC               NaN                       RSHD-6010-BX                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN   LAM KTC               NaN                       RSHD-6010-CX                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN    이오테크닉스               NaN                              RS-01                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN    이오테크닉스               NaN                              RS-02                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea            경기도            NaN SGS Korea          42100324                              HD-04                                납품일 + 1년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea             공통             공통     삼성전자㈜                공통                                 공통                                납품일 + 2년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Korea             공통             공통  삼성디스플레이㈜                공통                                 공통                                납품일 + 2년        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                        SUM of 수량            NaN            NaN       NaN Warranty\n In/Out                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                          Country           Site Chiller\nMODEL       FAT               NaN                                총합계                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                          America            NaN            NaN       NaN                 1                                  1                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            China            BOE            NaN       NaN                 9                                  9                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN           CSOT            NaN       NaN               189                                189                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN           CXMT            NaN       NaN                 7                                  7                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            EDO            NaN       NaN                17                                 17                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            GVO            NaN       NaN                47                                 47                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN         Tianma            NaN       NaN                 3                                  3                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN           YMTC            NaN       NaN                 1                                  1                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                           France            NaN            NaN       NaN                34                                 34                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                          Germany            NaN            NaN       NaN                 9                                  9                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                            Japan            NaN            NaN       NaN                 3                                  3                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                         Malaysia   Infineon_Mal            NaN       NaN                 1                                  1                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN       Silterra            NaN       NaN                 3                                  3                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                        Singapore            AUO            NaN       NaN                 1                                  1                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN Global Foundry            NaN       NaN                 7                                  7                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN     Micron_F10            NaN       NaN                11                                 11                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                               국내            NaN            NaN       NaN                37                                 37                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                                NaN                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              고객사           담당부서            담당자       제품군             MODEL 운영수량\nSCR: Chamber 기준 / CHI: 장비 기준                                     NaN        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                              Total                                Warrenty        NaN                                    NaN         NaN                              NaN            NaN         NaN
                              NaN            NaN            NaN       NaN               NaN                          (운영 + 대기)                                      In        Out                                    NaN         NaN                              NaN            NaN         NaN
 Veonis\n(STM, X-Fab, Infineon 등)           K칠러팀         김성수 과장       CHI          전기식, 냉동기                                 43                                      28         15                                    NaN         NaN                              NaN            NaN         NaN
       RET\n(CSOT, GVO, Tianma 등)           K칠러팀         김성수 과장       CHI               냉동기                                257                                      83        174                                    NaN         NaN                              NaN            NaN         NaN
SEUL\n(G/F, Silterra, Infineon 등)           K칠러팀         김성수 과장       CHI          전기식, 냉동기                                 12                                       0         12                                    NaN         NaN                              NaN            NaN         NaN
                 AP System\n(BOE)           K칠러팀         김성수 과장       CHI               냉동기                                  9                                       0          9                                    NaN         NaN                              NaN            NaN         NaN
                      TMH\n(Sony)           K칠러팀         김성수 과장       CHI               전기식                                  7                                       3          4                                    NaN         NaN                              NaN            NaN         NaN

# SHEET: Sheet1
Country Location Site  Customer      PJT   MODEL                 Warranty기준  Unnamed: 7                                     비고
  Korea      경기도  NaN SGS Korea 42100324   HD-04                   납품일 + 1년         NaN                                    NaN
  Korea       공통   공통     삼성전자㈜       공통      공통                   납품일 + 2년         NaN                                    NaN
  Korea       공통   공통  삼성디스플레이㈜       공통      공통                   납품일 + 2년         NaN                                    NaN
  CHINA  Chengdu  BOE  APSYSTEM 42000294   RS-04    인보이스 발행일(장비 출하일자)로부터 1년         NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년
  CHINA    Wuhan CSOT  APSYSTEM 42100126 RS-20CW    인보이스 발행일(장비 출하일자)로부터 1년         NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년
  CHINA    Wuhan CSOT       LIS 42100155   RS-02 인보이스 발행일(장비 출하일자)로부터 1년6개월         NaN                                    NaN
  CHINA    Wuhan CSOT       LIS 42100156   RS-03 인보이스 발행일(장비 출하일자)로부터 1년6개월         NaN                                    NaN
  CHINA Shanghai  EDO  APSYSTEM 42100064 RS-20CW    인보이스 발행일(장비 출하일자)로부터 1년         NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년
  CHINA Shanghai  EDO    NISSIN 42100053   RS-15                FAB IN + 1년         NaN                                    NaN
  CHINA Shanghai  EDO       SFA 42100096   RD-03    인보이스 발행일(장비 출하일자)로부터 1년         NaN FAB IN + 1년 -> 인보이스 발행일(장비 출하일자)로부터 1년
